Assists,AthleteID,Athlete_Name,Away,ClubID,Difficult_Saves,Fouls_Conceded,Fouls_Received,Game_Without_Being_Scored,Goals,Goals_Conceded,Missed_Passes,Missed_Penalty,Offsides,Opponent_Team,Own_Goals,Participated,Penalty_Saves,Points,Points_avg,PositionID,Price,Price_Variation,Red_Card,Round,Season,Shot_Missed,Shot_Saved,Shot_on_Post,Stolen_Balls,Team,Yellow_Card,opponentID,avg_Assists,avg_Difficult_Saves,avg_Fouls_Conceded,avg_Fouls_Received,avg_Game_Without_Being_Scored,avg_Goals,avg_Goals_Conceded,avg_Missed_Passes,avg_Missed_Penalty,avg_Offsides,avg_Own_Goals,avg_Penalty_Saves,avg_Points,avg_Price,avg_Red_Card,avg_Shot_Missed,avg_Shot_Saved,avg_Shot_on_Post,avg_Stolen_Balls,avg_Yellow_Card
0.0,81121,Mugni,1,262.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,São Paulo,0.0,True,0.0,-2.3,-2.3,4,0.79,-2.21,0.0,1,2015,0.0,0.0,0.0,0.0,Flamengo,1.0,276.0,,,,,,,,,,,,,,,,,,,,
0.0,68873,Paulo Victor,1,262.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,São Paulo,0.0,True,0.0,1.4,1.4,1,5.06,0.06,0.0,1,2015,0.0,0.0,0.0,0.0,Flamengo,0.0,276.0,,,,,,,,,,,,,,,,,,,,
0.0,72491,Bressan,1,262.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,São Paulo,0.0,True,0.0,0.4,0.4,3,5.85,-1.15,0.0,1,2015,0.0,0.0,0.0,1.0,Flamengo,0.0,276.0,,,,,,,,,,,,,,,,,,,,
0.0,37993,Almir,1,262.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,São Paulo,0.0,True,0.0,1.5,1.5,4,5.93,-0.07,0.0,1,2015,0.0,0.0,0.0,0.0,Flamengo,0.0,276.0,,,,,,,,,,,,,,,,,,,,
0.0,73515,Gabriel,1,262.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,São Paulo,0.0,True,0.0,0.6,0.6,4,6.01,-0.99,0.0,1,2015,0.0,1.0,0.0,0.0,Flamengo,0.0,276.0,,,,,,,,,,,,,,,,,,,,
0.0,72893,Eduardo Da Silva,1,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,São Paulo,0.0,True,0.0,0.0,0.0,5,6.33,-1.67,0.0,1,2015,0.0,0.0,0.0,0.0,Flamengo,0.0,276.0,,,,,,,,,,,,,,,,,,,,
0.0,68962,Arthur Maia,1,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,São Paulo,0.0,True,0.0,2.4,2.4,4,6.64,0.64,0.0,1,2015,1.0,0.0,0.0,1.0,Flamengo,0.0,276.0,,,,,,,,,,,,,,,,,,,,
0.0,50453,Anderson Pico,1,262.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,São Paulo,0.0,True,0.0,1.8,1.8,2,6.96,-0.04,0.0,1,2015,0.0,0.0,0.0,1.0,Flamengo,0.0,276.0,,,,,,,,,,,,,,,,,,,,
0.0,62086,Pará,1,262.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,São Paulo,0.0,True,0.0,2.8,2.8,2,8.54,0.54,0.0,1,2015,0.0,0.0,0.0,2.0,Flamengo,0.0,276.0,,,,,,,,,,,,,,,,,,,,
0.0,73918,Canteros,1,262.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,São Paulo,0.0,True,0.0,-0.7,-0.7,4,10.52,-3.48,0.0,1,2015,1.0,0.0,0.0,0.0,Flamengo,0.0,276.0,,,,,,,,,,,,,,,,,,,,
